(0.0010, 0.0110, 0.0280)	Architecture [15-44]	 Time 0.0400	 Loss 5.5952	 CELoss 5.5407	  RegLoss 0.0545	 s9 1.0042002201080322
(0.0020, 0.0120, 0.0280)	Architecture [15-49]	 Time 0.0430	 Loss 0.6973	 CELoss 0.6430	  RegLoss 0.0544	 s9 1.0034000873565674
(0.0020, 0.0100, 0.0250)	Architecture [15-54]	 Time 0.0380	 Loss 0.6266	 CELoss 0.5723	  RegLoss 0.0543	 s9 1.0029457807540894
(0.0010, 0.0120, 0.0270)	Architecture [16-4]	 Time 0.0420	 Loss 0.8859	 CELoss 0.8317	  RegLoss 0.0543	 s9 1.0026689767837524
(0.0020, 0.0120, 0.0270)	Architecture [16-9]	 Time 0.0430	 Loss 0.9913	 CELoss 0.9370	  RegLoss 0.0542	 s9 1.0024908781051636
(0.0010, 0.0110, 0.0270)	Architecture [16-14]	 Time 0.0410	 Loss 0.5164	 CELoss 0.4622	  RegLoss 0.0542	 s9 1.0023562908172607
(0.0020, 0.0080, 0.0180)	Architecture [16-19]	 Time 0.0280	 Loss 0.6904	 CELoss 0.6362	  RegLoss 0.0542	 s9 1.0022504329681396
(0.0010, 0.0110, 0.0260)	Architecture [16-24]	 Time 0.0400	 Loss 2.4992	 CELoss 2.4450	  RegLoss 0.0542	 s9 1.002349615097046
(0.0010, 0.0110, 0.0270)	Architecture [16-29]	 Time 0.0410	 Loss 0.7196	 CELoss 0.6654	  RegLoss 0.0542	 s9 1.0021742582321167
(0.0020, 0.0120, 0.0280)	Architecture [16-34]	 Time 0.0430	 Loss 0.5183	 CELoss 0.4641	  RegLoss 0.0542	 s9 1.002087116241455
(0.0020, 0.0100, 0.0280)	Architecture [16-39]	 Time 0.0410	 Loss 0.9328	 CELoss 0.8786	  RegLoss 0.0542	 s9 1.0019972324371338
(0.0020, 0.0090, 0.0190)	Architecture [16-44]	 Time 0.0310	 Loss 0.8450	 CELoss 0.7909	  RegLoss 0.0542	 s9 1.0019817352294922
(0.0020, 0.0080, 0.0190)	Architecture [16-49]	 Time 0.0300	 Loss 0.8697	 CELoss 0.8156	  RegLoss 0.0541	 s9 1.0019264221191406
(0.0010, 0.0100, 0.0280)	Architecture [16-54]	 Time 0.0410	 Loss 0.7666	 CELoss 0.7124	  RegLoss 0.0541	 s9 1.0018630027770996
(0.0020, 0.0100, 0.0270)	Architecture [17-4]	 Time 0.0400	 Loss 0.7888	 CELoss 0.7347	  RegLoss 0.0541	 s9 1.001665472984314
(0.0010, 0.0090, 0.0210)	Architecture [17-9]	 Time 0.0330	 Loss 1.3787	 CELoss 1.3246	  RegLoss 0.0541	 s9 1.001473307609558
